date,category,nut_level_3,count
2014,Εισαγγελίες,EL303,98
2015,Εισαγγελίες,EL303,72
2014,Εισαγγελίες,EL411,2
2015,Εισαγγελίες,EL411,5
2014,Εισαγγελίες,EL431,4
2015,Εισαγγελίες,EL431,3
2014,Εισαγγελίες,EL432,3
2015,Εισαγγελίες,EL432,4
2014,Εισαγγελίες,EL433,3
2015,Εισαγγελίες,EL433,1
2014,Εισαγγελίες,EL511,5
2015,Εισαγγελίες,EL511,7
2014,Εισαγγελίες,EL513,3
2015,Εισαγγελίες,EL513,4
2014,Εισαγγελίες,EL514,6
2015,Εισαγγελίες,EL514,3
2014,Εισαγγελίες,EL515,2
2015,Εισαγγελίες,EL515,4
2015,Εισαγγελίες,EL521,2
2014,Εισαγγελίες,EL522,5
2015,Εισαγγελίες,EL522,10
2014,Εισαγγελίες,EL523,2
2014,Εισαγγελίες,EL524,5
2015,Εισαγγελίες,EL524,3
2014,Εισαγγελίες,EL525,1
2015,Εισαγγελίες,EL525,1
2014,Εισαγγελίες,EL526,9
2015,Εισαγγελίες,EL526,6
2015,Εισαγγελίες,EL527,1
2014,Εισαγγελίες,EL531,13
2015,Εισαγγελίες,EL531,6
2014,Εισαγγελίες,EL532,2
2015,Εισαγγελίες,EL532,1
2014,Εισαγγελίες,EL533,5
2015,Εισαγγελίες,EL533,1
2014,Εισαγγελίες,EL541,8
2015,Εισαγγελίες,EL541,4
2014,Εισαγγελίες,EL543,6
2015,Εισαγγελίες,EL543,7
2014,Εισαγγελίες,EL611,5
2014,Εισαγγελίες,EL612,11
2015,Εισαγγελίες,EL612,4
2014,Εισαγγελίες,EL613,9
2015,Εισαγγελίες,EL613,6
2015,Εισαγγελίες,EL621,6
2015,Εισαγγελίες,EL622,1
2014,Εισαγγελίες,EL624,1
2015,Εισαγγελίες,EL631,1
2014,Εισαγγελίες,EL632,1
2015,Εισαγγελίες,EL632,3
2014,Εισαγγελίες,EL633,2
2015,Εισαγγελίες,EL633,5
2014,Εισαγγελίες,EL641,3
2015,Εισαγγελίες,EL641,1
2014,Εισαγγελίες,EL642,2
2014,Εισαγγελίες,EL645,1
2015,Εισαγγελίες,EL645,1
2014,Εισαγγελίες,EL651,7
2015,Εισαγγελίες,EL651,3
2014,Εισαγγελίες,EL652,1
2014,Εισαγγελίες,EL653,3
2015,Εισαγγελίες,EL653,4
2014, ΓΕΔΔ,EL515,1
2014, ΓΕΔΔ,EL532,1
2014, ΓΕΔΔ,EL542,1
2015, ΓΕΔΔ,EL421,1
2015, ΓΕΔΔ,EL542,1
2015, ΓΕΔΔ,EL623,1
2015, ΓΕΔΔ,EL644,1
2014, ΓΕΔΔ,EL512,2
2014, ΓΕΔΔ,EL641,2
2015, ΓΕΔΔ,EL432,2
2015, ΓΕΔΔ,EL433,2
2015, ΓΕΔΔ,EL527,2
2015, ΓΕΔΔ,EL532,2
2015, ΓΕΔΔ,EL621,2
2014, ΓΕΔΔ,EL413,3
2014, ΓΕΔΔ,EL514,3
2015, ΓΕΔΔ,EL422,3
2015, ΓΕΔΔ,EL434,3
2015, ΓΕΔΔ,EL515,3
2015, ΓΕΔΔ,EL641,3
2014, ΓΕΔΔ,EL422,4
2014, ΓΕΔΔ,EL623,4
2015, ΓΕΔΔ,EL541,4
2015, ΓΕΔΔ,EL622,4
2014, ΓΕΔΔ,EL523,5
2014, ΓΕΔΔ,EL543,5
2015, ΓΕΔΔ,EL514,5
2015, ΓΕΔΔ,EL651,5
2015, ΓΕΔΔ,EL653,5
2014, ΓΕΔΔ,EL433,6
2014, ΓΕΔΔ,EL632,6
2014, ΓΕΔΔ,EL645,6
2015, ΓΕΔΔ,EL411,6
2015, ΓΕΔΔ,EL521,6
2015, ΓΕΔΔ,EL533,6
2015, ΓΕΔΔ,EL513,7
2014, ΓΕΔΔ,EL411,8
2015, ΓΕΔΔ,EL633,8
2014, ΓΕΔΔ,EL434,9
2015, ΓΕΔΔ,EL413,9
2015, ΓΕΔΔ,EL523,9
2015, ΓΕΔΔ,EL524,9
2015, ΓΕΔΔ,EL624,9
2015, ΓΕΔΔ,EL632,10
2014, ΓΕΔΔ,EL432,11
2014, ΓΕΔΔ,EL513,11
2014, ΓΕΔΔ,EL531,11
2015, ΓΕΔΔ,EL511,11
2015, ΓΕΔΔ,EL642,11
2014, ΓΕΔΔ,EL511,12
2015, ΓΕΔΔ,EL412,12
2014, ΓΕΔΔ,EL527,13
2014, ΓΕΔΔ,EL652,13
2014, ΓΕΔΔ,EL653,13
2014, ΓΕΔΔ,EL624,14
2015, ΓΕΔΔ,EL512,14
2014, ΓΕΔΔ,EL421,15
2014, ΓΕΔΔ,EL613,15
2014, ΓΕΔΔ,EL631,15
2015, ΓΕΔΔ,EL645,15
2015, ΓΕΔΔ,EL526,17
2015, ΓΕΔΔ,EL531,19
2015, ΓΕΔΔ,EL613,20
2014, ΓΕΔΔ,EL521,21
2015, ΓΕΔΔ,EL543,21
2014, ΓΕΔΔ,EL612,22
2014, ΓΕΔΔ,EL642,22
2014, ΓΕΔΔ,EL651,22
2015, ΓΕΔΔ,EL611,24
2015, ΓΕΔΔ,EL631,26
2014, ΓΕΔΔ,EL524,27
2015, ΓΕΔΔ,EL525,27
2015, ΓΕΔΔ,EL307,28
2014, ΓΕΔΔ,EL412,29
2015, ΓΕΔΔ,EL431,32
2014, ΓΕΔΔ,EL431,33
2014, ΓΕΔΔ,EL633,33
2014, ΓΕΔΔ,EL526,36
2014, ΓΕΔΔ,EL541,36
2015, ΓΕΔΔ,EL612,38
2014, ΓΕΔΔ,EL525,48
2014, ΓΕΔΔ,EL611,49
2014, ΓΕΔΔ,EL307,54
2015, ΓΕΔΔ,EL522,63
2014, ΓΕΔΔ,EL522,67
2015, ΓΕΔΔ,EL303,192
2014, ΓΕΔΔ,EL303,224
